episode_id,entropy,alternation_rate,n_steps
1,0.7871265862012691,0.4375,17
2,0.9494520153879484,0.3333333333333333,19
3,0.6292492238560345,0.2777777777777778,19
4,0.4854607607459134,0.2777777777777778,19
5,0.8112781244591328,0.6666666666666666,4
6,0.9819407868640977,0.6666666666666666,19
9,0.8314743880097291,0.5,19
10,0.8997437586982626,0.5,19
11,-0.0,1.0,1
12,0.8112781244591328,1.0,4
13,0.9182958340544896,1.5,3
14,0.9819407868640977,0.5555555555555556,19
15,0.7424875695421236,0.3888888888888889,19
16,0.7424875695421236,0.4444444444444444,19
17,0.7424875695421236,0.3888888888888889,19
18,0.9819407868640977,0.7222222222222222,19
19,0.9980008838722996,0.5555555555555556,19
20,0.863120568566631,0.8333333333333334,7
21,0.8997437586982626,0.4444444444444444,19
22,-0.0,1.0,1
23,0.9494520153879484,0.6111111111111112,19
24,0.8524051786494786,0.5882352941176471,18
25,0.7219280948873623,0.75,5
26,0.9494520153879484,0.6111111111111112,19
27,0.8997437586982626,0.5555555555555556,19
28,0.9494520153879484,0.7222222222222222,19
29,0.954434002924965,0.5714285714285714,8
30,0.9494520153879484,0.5555555555555556,19
31,0.5916727785823273,0.38461538461538464,14
32,0.9709505944546686,0.6666666666666666,10
33,-0.0,1.0,1
34,0.7219280948873623,0.5,5
35,0.954434002924965,0.6666666666666666,16
36,0.9819407868640977,0.5,19
37,0.9980008838722995,0.5555555555555556,19
38,0.8997437586982626,0.7222222222222222,19
40,0.8997437586982626,0.3888888888888889,19
41,0.9494520153879484,0.7222222222222222,19
42,0.9182958340544896,0.45454545454545453,12
43,0.9494520153879484,0.7777777777777778,19
44,0.9494520153879484,0.5555555555555556,19
45,0.8453509366224364,0.4,11
46,0.8997437586982626,0.5,19
47,0.8997437586982626,0.6666666666666666,19
48,0.8997437586982626,0.6111111111111112,19
49,-0.0,1.0,1
52,0.9980008838722995,0.6111111111111112,19
53,-0.0,1.0,1
54,0.9494520153879484,0.6666666666666666,19
55,0.8112781244591328,0.6,16
56,0.9980008838722995,0.7222222222222222,19
57,0.7424875695421236,0.5,19
59,0.9980008838722995,0.5,19
60,0.7424875695421236,0.5,19
61,0.8997437586982626,0.5,19
62,0.9819407868640977,0.6111111111111112,19
63,0.9494520153879484,0.6111111111111112,19
64,0.964078764808229,0.7647058823529411,18
65,0.9980008838722995,0.7222222222222222,19
66,0.9494520153879484,0.6666666666666666,19
68,0.9182958340544896,1.0,3
69,0.9494520153879484,0.7222222222222222,19
70,0.6292492238560345,0.3888888888888889,19
72,0.7424875695421236,0.3888888888888889,19
73,0.7424875695421236,0.4444444444444444,19
74,0.8997437586982626,0.5,19
77,-0.0,1.0,1
79,0.9182958340544896,1.0,3
80,0.8997437586982626,0.5555555555555556,19
81,0.9456603046006401,0.5,11
82,0.8314743880097291,0.5,19
83,0.8314743880097291,0.4444444444444444,19
84,0.964078764808229,0.47058823529411764,18
85,0.863120568566631,0.38461538461538464,14
86,0.7424875695421236,0.5,19
87,1.0,0.6666666666666666,4
88,0.7424875695421236,0.4444444444444444,19
89,0.8997437586982626,0.5,19
90,0.8112781244591328,0.6666666666666666,4
91,0.9980008838722995,0.6111111111111112,19
92,0.6292492238560345,0.3888888888888889,19
93,0.9494520153879484,0.4444444444444444,19
94,0.8314743880097291,0.5555555555555556,19
95,0.8314743880097291,0.5,19
96,0.7871265862012691,0.4375,17
97,0.6292492238560345,0.3888888888888889,19
98,-0.0,1.0,1
99,0.9819407868640977,0.7777777777777778,19
