episode_id,step,action,action_valid,history_valid,o_t,o_t_1,delta_1,delta_2,delta_3,delta_4,slope_5,std_5,var_5,range_5,delta_3_bin,noise_bin,reward,done
0,0,RUN,True,False,,,,,,,,,,,,,1.0,True
1,0,RUN,True,False,,,,,,,,,,,,,0.0,False
1,1,TUMBLE,True,True,-0.03753312397463868,-0.03753312397463868,0.0,,,,-0.21856902370697856,0.1092845118534893,0.011943104531055442,0.2185690237069786,,Q3,0.0,False
1,2,RUN,True,True,0.0021923505297000018,-0.03753312397463868,0.03972547450433868,-0.06955903734915062,,,-0.08942177460131999,0.09506462511845631,0.009037282948912635,0.2185690237069786,,Q3,0.0,False
1,3,RUN,True,True,-0.08008238455838652,-0.03753312397463868,-0.04254926058374785,-0.062411997835917186,-0.12864742665418694,,-0.0743629378367841,0.09940380920178085,0.009881117283824051,0.2611182842907264,"(-0.2,0.2]",Q3,0.0,False
1,4,TUMBLE,True,True,-0.0913784305942747,-0.03753312397463868,-0.05384530661963602,-0.052433413579931434,-0.0529040445931663,-0.10778161602652837,-0.058737792123697716,0.0988109007528301,0.009763594107585639,0.2724143303266146,"(-0.2,0.2]",Q3,0.0,False
1,5,TUMBLE,True,True,-0.0283983449561281,0.0021923505297000018,-0.0305906954858281,0.057332062620202504,0.028024476584858973,0.023302052193271874,-0.007530122308695351,0.03440759200549288,0.0011838823876164574,0.0935707811239747,"(-0.2,0.2]",Q1,0.0,False
1,6,TUMBLE,True,True,-0.04527456488318959,-0.08008238455838652,0.03480781967519694,0.01461382289201181,0.02134515515307351,0.0041421375115827455,-0.004324979122352081,0.034117919724860724,0.0011640324463520404,0.0935707811239747,"(-0.2,0.2]",Q1,0.0,False
1,7,TUMBLE,True,True,-0.15466623910464677,-0.0913784305942747,-0.06328780851037208,-0.11782978418498793,-0.09964912562678266,-0.09338280785665205,-0.01030638433814354,0.043756374110482464,0.0019146202752965001,0.1262678941485187,"(-0.2,0.2]",Q1,0.0,False
1,8,TUMBLE,True,True,0.04373354368460187,-0.0283983449561281,0.07213188864072997,0.14370394567852005,0.11984659333259001,0.12366293856916166,0.014395605440923437,0.06604104867771023,0.004361420110451692,0.19839978278924864,"(-0.2,0.2]",Q2,0.0,False
1,9,TUMBLE,True,True,0.11593935921754589,-0.04527456488318959,0.16121392410073548,0.17140570692756835,0.16800844598529072,0.16209076053238652,0.037768351691513935,0.09076281719986243,0.008237888986055642,0.27060559832219266,"(-0.2,0.2]",Q2,0.0,False
1,10,RUN,True,True,-0.04793646976117209,-0.15466623910464677,0.10672976934347468,-0.12777292121224598,-0.04960535769367242,-0.03786949448974994,0.026528178856622762,0.09172556080939673,0.008413578505798337,0.27060559832219266,"(-0.2,0.2]",Q2,0.0,False
1,11,TUMBLE,True,True,0.04234046234924216,0.04373354368460187,-0.0013930813353597096,0.00833901762105526,0.005094984635583603,0.05307291384015994,0.030234338946200402,0.09313082604347078,0.008673350759539216,0.27060559832219266,"(-0.2,0.2]",Q2,0.0,False
1,12,TUMBLE,True,True,0.039966082682982164,0.11593935921754589,-0.07597327653456373,0.04276408638894713,0.003184965414443512,0.0014468588104277133,-0.008113381887154313,0.051984478517067875,0.0027023860066914913,0.163875828978718,"(-0.2,0.2]",Q1,0.0,False
1,13,TUMBLE,True,True,0.06402028427627034,-0.04793646976117209,0.11195675403744243,0.02286701176015818,0.052563592519252925,0.026442925654120805,-0.001593559743839698,0.0529924405845936,0.002808198759111683,0.163875828978718,"(-0.2,0.2]",Q1,0.0,False
1,14,TUMBLE,True,True,0.03306567261448201,0.04234046234924216,-0.009274789734760147,-0.018927510865144243,-0.01570993715501621,0.008468082727651371,0.018368410667833648,0.03853233830447309,0.0014847410952103643,0.11195675403744243,"(-0.2,0.2]",Q1,0.0,False
1,15,TUMBLE,True,True,0.25740048774711255,0.039966082682982164,0.2174344050641304,0.20885750930173638,0.2117164745558677,0.21255236226636837,0.042321964072724046,0.08564966543857323,0.007335865189739526,0.22433481513263054,"(0.2,1]",Q2,0.0,False
1,16,RUN,True,True,0.5372039031114562,0.06402028427627034,0.47318361883518584,0.3919708229306589,0.41904175489883455,0.4385907712812444,0.11878558443277899,0.19392551508594608,0.0376071054013495,0.5041382304969741,"(0.2,1]",Q4,0.0,False
1,17,TUMBLE,True,True,0.5779981285263305,0.03306567261448201,0.5449324559118485,0.18069593309704612,0.3021081073686469,0.35507554158900023,0.15320939189970942,0.22896286739790275,0.0524239946470696,0.5449324559118485,"(0.2,1]",Q4,1.0,True
2,0,TUMBLE,True,False,,,,,,,,,,,,,0.0,False
2,1,TUMBLE,True,True,0.22074398724107763,0.22074398724107763,0.0,,,,0.21826117073887769,0.10913058536943886,0.011909484663076382,0.2182611707388777,,Q3,0.0,False
2,2,TUMBLE,True,True,0.2606344583632201,0.22074398724107763,0.039890471122142446,0.14902105649158132,,,0.1290758209305101,0.1134663232144197,0.012874606503799159,0.25815164186102013,,Q3,0.0,False
2,3,RUN,True,True,0.07795543777155867,0.22074398724107763,-0.14278854946951897,-0.1627337850305902,-0.08333164959727388,,0.026630833493021876,0.10468039737678875,0.0109579855949624,0.25815164186102013,"(-0.2,0.2]",Q3,0.0,False
2,4,TUMBLE,True,True,-0.06972922599862168,0.22074398724107763,-0.2904732132396993,-0.23902417406601106,-0.2561738537905738,-0.21018340096813576,-0.028721263447116188,0.12583607750869805,0.01583471840277506,0.33036368436184177,"(-1,-0.2]",Q4,0.0,False
2,5,TUMBLE,True,True,0.11668387753201968,0.2606344583632201,-0.14395058083120038,0.11257077164555118,0.02706365415330067,-0.005717286812288974,-0.05384839037799576,0.11635756424859167,0.01353908275786514,0.33036368436184177,"(-0.2,0.2]",Q3,0.0,False
2,6,RUN,True,True,0.08704172560793572,0.07795543777155867,0.00908628783637705,0.06356439984123671,0.04540502917295016,-0.009344411309108472,-0.03084570257501078,0.10525527849730384,0.011078673651544992,0.33036368436184177,"(-0.2,0.2]",Q3,0.0,False
2,7,RUN,True,True,-0.0012111927849111914,-0.06972922599862168,0.06851803321371049,-0.1030739943548889,-0.045876651832022435,-0.05419914651313429,-0.00015623095063823595,0.06819054118310143,0.004649949906844252,0.18641310353064136,"(-0.2,0.2]",Q2,0.0,False
